zur Inhaltsübersicht;;;;;;;;;;;;;;;
61241-15: Strom Abgabe an private Haushalte - EUR/KWh;;;;;;;;;;;;;;;
Monat/Jahr;Strompreise für Haushalte;;;;;;;;;;;;;;
;unter 1 000 KWh;;;1 000 bis unter 2 500 KWh;;;2 500 bis unter 5 000 KWh;;;5 000 bis unter 15 000 KWh;;;15 000 KWh und mehr;;
;Durchschnittspreise ohne Steuern, Abgaben, Umlagen;Durchschnittspreise ohne Umsatzsteuer u.a. abz. Steuern;Durchschnittspreise inkl.Steuern, Abgaben, Umlagen;Durchschnittspreise ohne Steuern, Abgaben, Umlagen;Durchschnittspreise ohne Umsatzsteuer u.a. abz. Steuern;Durchschnittspreise inkl.Steuern, Abgaben, Umlagen;Durchschnittspreise ohne Steuern, Abgaben, Umlagen;Durchschnittspreise ohne Umsatzsteuer u.a. abz. Steuern;Durchschnittspreise inkl.Steuern, Abgaben, Umlagen;Durchschnittspreise ohne Steuern, Abgaben, Umlagen;Durchschnittspreise ohne Umsatzsteuer u.a. abz. Steuern;Durchschnittspreise inkl.Steuern, Abgaben, Umlagen;Durchschnittspreise ohne Steuern, Abgaben, Umlagen;Durchschnittspreise ohne Umsatzsteuer u.a. abz. Steuern;Durchschnittspreise inkl.Steuern, Abgaben, Umlagen
1. HJ 2008;0,2349;0,2870;0,3415;0,1497;0,2001;0,2389;0,1299;0,1800;0,2148;0,1176;0,1670;0,1988;0,1131;0,1602;0,1907
2. HJ 2008;0,2408;0,2928;0,3480;0,1538;0,2050;0,2439;0,1341;0,1843;0,2195;0,1207;0,1713;0,2039;0,1181;0,1655;0,1970
1. HJ 2009;0,2498;0,3011;0,3599;0,1607;0,2126;0,2528;0,1401;0,1918;0,2282;0,1272;0,1786;0,2122;0,1248;0,1734;0,2058
2. HJ 2009;0,2413;0,2998;0,3567;0,1562;0,2130;0,2534;0,1359;0,1928;0,2294;0,1233;0,1797;0,2138;0,1199;0,1737;0,2067
1. HJ 2010;0,2446;0,3079;0,3664;0,1584;0,2203;0,2622;0,1381;0,1996;0,2375;0,1272;0,1883;0,2240;0,1246;0,1830;0,2178
2. HJ 2010;0,2472;0,3130;0,3725;0,1579;0,2265;0,2695;0,1370;0,2049;0,2438;0,1251;0,1926;0,2292;0,1214;0,1858;0,2211
1. HJ 2011;0,2478;0,3223;0,3835;0,1609;0,2331;0,2774;0,1406;0,2124;0,2528;0,1299;0,2015;0,2399;0,1267;0,1949;0,2319
2. HJ 2011;0,2464;0,3219;0,3831;0,1597;0,2334;0,2777;0,1395;0,2127;0,2531;0,1321;0,2036;0,2423;0,1254;0,1954;0,2325
1. HJ 2012;0,2516;0,3292;0,3917;0,1644;0,2390;0,2844;0,1441;0,2181;0,2595;0,1329;0,2072;0,2466;0,1290;0,1995;0,2374
